region,sector,year,quarter,loan_amount
Batken oblast,Mortgage,2022,2,313.54374785000005
Batken oblast,Individuals,2022,2,1481.6114729168762
Batken oblast,Other loans,2022,2,371.930973405577
Batken oblast,Industry,2022,3,521.24486787593
Batken oblast,"Agriculture, procurement and  processing",2022,3,2307.4897063929743
Batken oblast,Trade,2022,3,1188.751472587918
Batken oblast,Construction,2022,3,284.436668582334
Batken oblast,Mortgage,2022,3,322.88170889582807
Batken oblast,Individuals,2022,3,1608.807320347841
Batken oblast,Other loans,2022,3,363.090652385618
Batken oblast,Industry,2022,4,624.35714863117
Batken oblast,"Agriculture, procurement and  processing",2022,4,2328.4710727076
Batken oblast,Trade,2022,4,1393.9376806686005
Batken oblast,Construction,2022,4,266.81198840050297
Batken oblast,Mortgage,2022,4,358.62250538880005
Batken oblast,Individuals,2022,4,1764.1270708848429
Batken oblast,Other loans,2022,4,402.0560900536
Batken oblast,Industry,2023,1,381.11674104119993
Batken oblast,"Agriculture, procurement and  processing",2023,1,2386.336530621272
Batken oblast,Trade,2023,1,1839.899659711341
Batken oblast,Construction,2023,1,239.22259169967802
Batken oblast,Mortgage,2023,1,384.8271647798
Batken oblast,Individuals,2023,1,1945.3394179906873
Batken oblast,Other loans,2023,1,435.9457188174
Batken oblast,Industry,2023,2,375.3702335934199
Batken oblast,"Agriculture, procurement and  processing",2023,2,2658.4534730655764
Batken oblast,Trade,2023,2,1985.0021264243303
Batken oblast,Construction,2023,2,248.286782700419
Batken oblast,Mortgage,2023,2,421.90481118806997
Batken oblast,Individuals,2023,2,2340.6124228951985
Batken oblast,Other loans,2023,2,478.06561427585905
Batken oblast,Industry,2023,3,338.5490347291
Batken oblast,"Agriculture, procurement and  processing",2023,3,2759.349990160198
Batken oblast,Trade,2023,3,2143.79520079006
Batken oblast,Construction,2023,3,251.76477276340597
Batken oblast,Mortgage,2023,3,481.04256588849995
Batken oblast,Individuals,2023,3,2978.4771027226043
Batken oblast,Other loans,2023,3,487.3403394121
Batken oblast,Industry,2023,4,329.19057135031005
Batken oblast,"Agriculture, procurement and  processing",2023,4,2802.0373851894583
Batken oblast,Trade,2023,4,2393.8621042092705
Batken oblast,Construction,2023,4,242.698296076326
Batken oblast,Mortgage,2023,4,524.60100983092
Batken oblast,Individuals,2023,4,3319.6373427372946
Batken oblast,Other loans,2023,4,533.0990505681409
Batken oblast,Industry,2024,1,340.14215719352
Batken oblast,"Agriculture, procurement and  processing",2024,1,2768.9509559271614
Batken oblast,Trade,2024,1,2481.4556924983713
Batken oblast,Construction,2024,1,225.73909398224
Batken oblast,Mortgage,2024,1,553.00182675218
Batken oblast,Individuals,2024,1,3492.1367900377454
Batken oblast,Other loans,2024,1,531.903437319922
Batken oblast,Industry,2024,2,366.09955660867644
Batken oblast,"Agriculture, procurement and  processing",2024,2,2864.1669292462
Batken oblast,Trade,2024,2,2590.047338040465
Batken oblast,Construction,2024,2,253.47389110257697
Batken oblast,Mortgage,2024,2,635.7041332718998
Batken oblast,Individuals,2024,2,3978.0800703555433
Batken oblast,Other loans,2024,2,513.045702072204
Batken oblast,Industry,2024,3,374.36834782218557
Batken oblast,"Agriculture, procurement and  processing",2024,3,2918.12929239
Batken oblast,Trade,2024,3,2619.331797741118
Batken oblast,Construction,2024,3,276.700094430227
Batken oblast,Mortgage,2024,3,728.8541313200001
Batken oblast,Individuals,2024,3,4936.735043305934
Batken oblast,Other loans,2024,3,565.3386696360001
Batken oblast,Industry,2024,4,390.35783624999993
Batken oblast,"Agriculture, procurement and  processing",2024,4,2905.309483069998
Batken oblast,Trade,2024,4,2781.439779159998
Batken oblast,Construction,2024,4,308.83724437406
Batken oblast,Mortgage,2024,4,853.23017431
Batken oblast,Individuals,2024,4,5808.300039053597
Batken oblast,Other loans,2024,4,743.9854006600002
Batken oblast,Industry,2025,1,429.85865158600006
Batken oblast,"Agriculture, procurement and  processing",2025,1,3009.4667894880004
Batken oblast,Trade,2025,1,2890.5805331826914
Batken oblast,Construction,2025,1,300.198534246896
Batken oblast,Mortgage,2025,1,910.5054270000002
Batken oblast,Individuals,2025,1,6352.642073379999
Batken oblast,Other loans,2025,1,1004.625540908
Batken oblast,Industry,2025,2,471.62480410202
Batken oblast,"Agriculture, procurement and  processing",2025,2,3171.8591968897604
Batken oblast,Trade,2025,2,3092.310050646479
Batken oblast,Construction,2025,2,306.92507144655997
Batken oblast,Mortgage,2025,2,1045.3375146699998
Batken oblast,Individuals,2025,2,6931.266423635832
Batken oblast,Other loans,2025,2,1263.7738176133598
Batken oblast,Industry,2025,3,405.9080054399999
Batken oblast,"Agriculture, procurement and  processing",2025,3,3272.85514085
Batken oblast,Trade,2025,3,2313.0705016800002
Batken oblast,Construction,2025,3,362.95488248
Batken oblast,Mortgage,2025,3,1347.3768044100002
Batken oblast,Individuals,2025,3,7373.323923299999
Batken oblast,Other loans,2025,3,2451.41657449
Batken oblast,Industry,2025,4,415.9522464629578
Batken oblast,"Agriculture, procurement and  processing",2025,4,3114.0743161646274
Batken oblast,Trade,2025,4,2440.6075165957095
Batken oblast,Construction,2025,4,357.5497054189221
Batken oblast,Mortgage,2025,4,1744.8242131012776
Batken oblast,Individuals,2025,4,7645.6984520599835
Batken oblast,Other loans,2025,4,2569.723810789373
Jalal-Abad oblast,Industry,2018,1,352.90927660962495
Jalal-Abad oblast,"Agriculture, procurement and  processing",2018,1,4585.004464301076
Jalal-Abad oblast,Trade,2018,1,2162.3214550345774
Jalal-Abad oblast,Construction,2018,1,316.1025123687602
Jalal-Abad oblast,Mortgage,2018,1,673.4904985420811
Jalal-Abad oblast,Individuals,2018,1,1549.2980313030191
Jalal-Abad oblast,Other loans,2018,1,736.7811703569965
Jalal-Abad oblast,Industry,2018,2,423.5551882666
Jalal-Abad oblast,"Agriculture, procurement and  processing",2018,2,5217.770688757412
Jalal-Abad oblast,Trade,2018,2,2294.6747838774686
Jalal-Abad oblast,Construction,2018,2,351.24616093125627
Jalal-Abad oblast,Mortgage,2018,2,704.712874315352
Jalal-Abad oblast,Individuals,2018,2,1692.7469738698144
Jalal-Abad oblast,Other loans,2018,2,792.50827878817
Jalal-Abad oblast,Industry,2018,3,469.50333150655996
Jalal-Abad oblast,"Agriculture, procurement and  processing",2018,3,5175.776295313655
Jalal-Abad oblast,Trade,2018,3,2346.0555622476963
Jalal-Abad oblast,Construction,2018,3,364.5361285731057
Jalal-Abad oblast,Mortgage,2018,3,769.5126485852439
Jalal-Abad oblast,Individuals,2018,3,1887.3977300458816
Jalal-Abad oblast,Other loans,2018,3,812.683724022406
Jalal-Abad oblast,Industry,2018,4,465.9634678635
Jalal-Abad oblast,"Agriculture, procurement and  processing",2018,4,5066.029549213322
Jalal-Abad oblast,Trade,2018,4,2319.0353101333703
Jalal-Abad oblast,Construction,2018,4,368.9264663486135
Jalal-Abad oblast,Mortgage,2018,4,775.2546506195001
Jalal-Abad oblast,Individuals,2018,4,1971.387129516998
Jalal-Abad oblast,Other loans,2018,4,841.0358271504481
Jalal-Abad oblast,Industry,2019,1,463.56514492637933
Jalal-Abad oblast,"Agriculture, procurement and  processing",2019,1,5303.282333557276
Jalal-Abad oblast,Trade,2019,1,2278.5104190735415
Jalal-Abad oblast,Construction,2019,1,351.6615407556845
Jalal-Abad oblast,Mortgage,2019,1,786.1232567656069
Jalal-Abad oblast,Individuals,2019,1,1918.414036693242
Jalal-Abad oblast,Other loans,2019,1,855.0092474613094
Jalal-Abad oblast,Industry,2019,2,525.425963204448
Jalal-Abad oblast,"Agriculture, procurement and  processing",2019,2,5940.390724554715
Jalal-Abad oblast,Trade,2019,2,2456.238957823136
Jalal-Abad oblast,Construction,2019,2,413.36995736823997
Jalal-Abad oblast,Mortgage,2019,2,829.752543826112
Jalal-Abad oblast,Individuals,2019,2,2109.8223531267927
Jalal-Abad oblast,Other loans,2019,2,997.850115960944
Jalal-Abad oblast,Industry,2019,3,506.761255430518
Jalal-Abad oblast,"Agriculture, procurement and  processing",2019,3,6032.996111016784
Jalal-Abad oblast,Trade,2019,3,2463.554729888762
Jalal-Abad oblast,Construction,2019,3,719.874970554054
Jalal-Abad oblast,Mortgage,2019,3,892.9188193719119
Jalal-Abad oblast,Individuals,2019,3,2258.8759628821017
Jalal-Abad oblast,Other loans,2019,3,985.469783617887
Jalal-Abad oblast,Industry,2019,4,248.85805523309799
Jalal-Abad oblast,"Agriculture, procurement and  processing",2019,4,5006.644334841208
Jalal-Abad oblast,Trade,2019,4,2500.3001583553255
Jalal-Abad oblast,Construction,2019,4,794.4461193263398
Jalal-Abad oblast,Mortgage,2019,4,949.252694516829
Jalal-Abad oblast,Individuals,2019,4,2302.25161110316
Jalal-Abad oblast,Other loans,2019,4,959.8157612765709
Jalal-Abad oblast,Industry,2020,1,292.798506559
Jalal-Abad oblast,"Agriculture, procurement and  processing",2020,1,5061.4235666386485
Jalal-Abad oblast,Trade,2020,1,2618.8757066225726
Jalal-Abad oblast,Construction,2020,1,851.74062178941
Jalal-Abad oblast,Mortgage,2020,1,1030.5436284826
Jalal-Abad oblast,Individuals,2020,1,2240.5504569474906
Jalal-Abad oblast,Other loans,2020,1,937.6361651360999
Jalal-Abad oblast,Industry,2020,2,297.594430171361
Jalal-Abad oblast,"Agriculture, procurement and  processing",2020,2,5499.451781084993
Jalal-Abad oblast,Trade,2020,2,2635.357658959807
Jalal-Abad oblast,Construction,2020,2,857.8954813661602
Jalal-Abad oblast,Mortgage,2020,2,1031.735255129671
Jalal-Abad oblast,Individuals,2020,2,2137.1606947559962
Jalal-Abad oblast,Other loans,2020,2,985.7218898747809
Jalal-Abad oblast,Industry,2020,3,345.740265854
Jalal-Abad oblast,"Agriculture, procurement and  processing",2020,3,5765.877620285988
Jalal-Abad oblast,Trade,2020,3,2673.6761305973478
Jalal-Abad oblast,Construction,2020,3,935.1304457145529
Jalal-Abad oblast,Mortgage,2020,3,1108.4468591455109
Jalal-Abad oblast,Individuals,2020,3,2230.109900331994
Jalal-Abad oblast,Other loans,2020,3,977.05123387
Jalal-Abad oblast,Industry,2020,4,324.8172593131963
Jalal-Abad oblast,"Agriculture, procurement and  processing",2020,4,5767.30880255304
