year,month,sector,outstanding_loans,interest_rate
2020,12,Trade,41744.245,12.9282929523339
2020,12,Procurement and processing,1930.3551,7.44718735791151
2020,12,Construction ,13737.2666,10.729410813065199
2020,12,Mortgage,17262.7749,12.714137956406999
2020,12,Consumer loans,17373.4607,23.162655296247298
2020,12,Social services,6378.033500000001,11.377145216781898
2020,12,Other ,15744.389200000001,11.719779312874198
2021,1,Industry,14031.4051,9.601553977085299
2021,1,Agriculture,30133.2397,15.968928472831898
2021,1,Transport,3594.6086,15.1342503283946
2021,1,Сommunication,253.9635,11.8345820954586
2021,1,Trade,42480.24309999999,12.605032942666899
2021,1,Procurement and processing,1874.9854999999998,7.449879027331139
2021,1,Construction ,13708.5544,11.454834727358302
2021,1,Mortgage,17106.0997,12.5686206584544
2021,1,Consumer loans,17072.1919,23.002025787620195
2021,1,Social services,6427.6660999999995,11.279856427669799
2021,1,Other ,15892.6653,11.732931457884499
2021,2,Industry,13983.4788,9.62573065137411
2021,2,Agriculture,30146.616,16.0530505069955
2021,2,Transport,3614.9346,15.2302950827935
2021,2,Сommunication,247.6498,11.7914134798413
2021,2,Trade,43346.6182,12.7874584825397
2021,2,Procurement and processing,1855.8357,7.44049297251907
2021,2,Construction ,13590.2251,11.446003859715299
2021,2,Mortgage,17111.1315,12.4126485706103
2021,2,Consumer loans,17066.3138,22.921815868814
2021,2,Social services,6403.7119,11.230526541801499
2021,2,Other ,15815.732100000001,11.8095262721983
2021,3,Industry,13900.813900000001,9.66956515625319
2021,3,Agriculture,31831.666699999998,15.968228448685
2021,3,Transport,3687.6402000000003,15.256948691469399
2021,3,Сommunication,241.4393,11.737488619292698
2021,3,Trade,44492.9851,12.504161988447901
2021,3,Procurement and processing,1908.5347000000004,7.4017055267583
2021,3,Construction ,13535.1999,11.5732592810838
2021,3,Mortgage,17147.9255,12.400985975767199
2021,3,Consumer loans,17441.6529,22.8937312179283
2021,3,Social services,6494.9979,11.1218109446964
2021,3,Other ,15886.994200000001,11.8665776427992
2021,4,Industry,13924.072900000001,9.74822351612365
2021,4,Agriculture,33694.4514,15.836854575320398
2021,4,Transport,3749.3023000000003,15.3614946690215
2021,4,Сommunication,235.3975,11.685728225660899
2021,4,Trade,45116.79890000001,12.553038400625498
2021,4,Procurement and processing,1993.1701999999998,7.466176641613449
2021,4,Construction ,13737.454300000001,11.648324315663098
2021,4,Mortgage,17335.9981,12.378288536037598
2021,4,Consumer loans,17858.127,22.9059339094744
2021,4,Social services,6512.9587,11.1134561633256
2021,4,Other ,15829.576000000001,12.0789425239185
2021,5,Industry,13538.7544,9.76377894239665
2021,5,Agriculture,34013.8421,15.861956881430899
2021,5,Transport,3735.4834,15.4524887790962
2021,5,Сommunication,226.6107,11.556375696293198
2021,5,Trade,46324.172,12.540817987809898
2021,5,Procurement and processing,1963.8725000000004,7.28077633094816
2021,5,Construction ,13588.128700000001,11.826894580634898
2021,5,Mortgage,17488.2691,12.384320654466599
2021,5,Consumer loans,18292.74570163,22.784543285572
2021,5,Social services,6577.1407,11.147433960322598
2021,5,Other ,15639.787900000001,11.9535501806262
2021,6,Industry,13800.5174,9.75255741099968
2021,6,Agriculture,34295.7057,15.927518341137397
2021,6,Transport,3777.9409,15.479062117144299
2021,6,Сommunication,222.19480000000004,11.4815973911181
2021,6,Trade,46438.3105,12.611796267782001
2021,6,Procurement and processing,2068.8858,7.196861706914899
2021,6,Construction ,13644.7235,11.9359648089608
2021,6,Mortgage,17726.8975,12.397750170383699
2021,6,Consumer loans,18966.8558,22.9990877458983
2021,6,Social services,6628.773300000001,11.1959134067837
2021,6,Other ,15885.9279,11.9897466351966
2021,7,Industry,13655.816100000002,9.86080922252607
2021,7,Agriculture,34188.7649,15.9815112593026
2021,7,Transport,3863.4065,15.457098451845498
2021,7,Сommunication,215.12230000000002,11.4678067220367
2021,7,Trade,46801.8437,12.6459382080283
2021,7,Procurement and processing,2168.5718,7.443742193825448
2021,7,Construction ,13665.488900000002,11.8210622004164
2021,7,Mortgage,17913.6974,12.3985876098365
2021,7,Consumer loans,19481.5399,23.0970385825609
2021,7,Social services,6624.9425,11.1879219467943
2021,7,Other ,14710.6882,12.143990437374597
2021,8,Industry,13687.6338,9.80712125626856
2021,8,Agriculture,34155.1759,16.059445255030898
2021,8,Transport,3857.9596,15.552207745773199
2021,8,Сommunication,208.45860000000002,11.3970603659432
2021,8,Trade,46962.4355,12.748054254894901
2021,8,Procurement and processing,2291.4965,7.43032596078589
2021,8,Construction ,13829.401600000001,11.909296679908401
2021,8,Mortgage,18173.4682,12.394214897792601
2021,8,Consumer loans,20060.7531,23.2273969478743
2021,8,Social services,6454.7738,11.1650105322049
2021,8,Other ,14708.958399999998,12.278598676368496
2021,9,Industry,13526.6532,9.77019442414625
2021,9,Agriculture,33983.2902,16.2024638597531
2021,9,Transport,3838.1844,15.620524487567598
2021,9,Сommunication,199.12390000000002,11.264551307000296
2021,9,Trade,47653.1054,12.8602970254694
2021,9,Procurement and processing,2374.1542,7.500581602492369
2021,9,Construction ,13709.999399999999,11.9648547277836
2021,9,Mortgage,18380.747600000002,12.447182094704399
2021,9,Consumer loans,20862.2243,23.331306451393097
2021,9,Social services,6527.035000000001,11.123039516871
2021,9,Other ,14589.2087,12.2597018512731
2021,10,Industry,13323.1145,9.79831560248169
2021,10,Agriculture,33616.0216,16.3069562114394
2021,10,Transport,3861.035700000001,15.7291425435408
2021,10,Сommunication,436.29630000000003,12.2257349351805
2021,10,Trade,47463.606400000004,12.9928444524814
2021,10,Procurement and processing,2387.2635,7.605127621647129
2021,10,Construction ,13854.721200000002,12.098952118213699
2021,10,Mortgage,19200.5901,12.034459875897301
2021,10,Consumer loans,21348.3476,23.336986355796498
2021,10,Social services,6848.4337,11.1497212886795
2021,10,Other ,14447.175,12.274166290018597
2021,11,Industry,13783.655,9.790653588979119
2021,11,Agriculture,33194.2911,16.3621968184764
2021,11,Transport,3828.5732000000003,15.7739356254178
2021,11,Сommunication,394.139,12.178394142675597
2021,11,Trade,49084.2146,12.806702889608799
2021,11,Procurement and processing,2380.5206000000003,7.598758056115958
2021,11,Construction ,13677.695,12.1279393674885
2021,11,Mortgage,19459.267,11.7991825764557
2021,11,Consumer loans,21699.2177,23.3406395191841
2021,11,Social services,6836.8676000000005,11.1760977497941
2021,11,Other ,14272.455399999999,12.2719341158355
2021,12,Industry,13821.2252,9.79776979786134
2021,12,Agriculture,33177.949,16.3886781858035
2021,12,Transport,3892.4435000000003,15.7262270268021
2021,12,Сommunication,369.24580000000003,11.9743146001932
2021,12,Trade,51273.8821,12.743455872848802
2021,12,Procurement and processing,2322.0443,7.62242937828533
2021,12,Construction ,13523.948100000001,11.987533879252299
2021,12,Mortgage,19936.127800000002,11.636341665355898
2021,12,Consumer loans,22205.6204,23.218291979178403
2021,12,Social services,6706.701800000001,11.570679366272099
2021,12,Other ,14554.0684,12.175386816925998
2022,1,Industry,13688.028,9.78378027974519
2022,1,Agriculture,32379.3257,16.4232930565321
2022,1,Transport,3828.2115000000003,15.8262267139629
2022,1,Сommunication,334.3219,11.8422104773872
2022,1,Trade,50744.5706,13.211689653139
2022,1,Procurement and processing,2236.9133,7.65659894462606
2022,1,Construction ,13228.7409,11.9565174071102
2022,1,Mortgage,19889.048600000002,11.574175734680399
2022,1,Consumer loans,21936.7622,23.108417738512
2022,1,Social services,6646.9752,11.641922068101001
2022,1,Other ,14122.533500000001,12.1700997444262
2022,2,Industry,13793.0005,9.77422491661622
2022,2,Agriculture,32420.017000000003,16.4147960468991
2022,2,Transport,4033.6489,15.742628440963198
2022,2,Сommunication,308.68080000000003,11.594729931372502
2022,2,Trade,52977.3327,13.0998039936427
2022,2,Procurement and processing,2185.8261,7.56497749843869
2022,2,Construction ,13645.4374,11.742792988079703
2022,2,Mortgage,20138.4747,11.4805130389046
2022,2,Consumer loans,22306.9596,22.8439296640856
2022,2,Social services,6741.9409000000005,11.389409876464496
2022,2,Other ,14546.9309,12.2545523260855
2022,3,Industry,13190.3612,9.94774211876776
2022,3,Agriculture,34288.3694,16.1776535127681
2022,3,Transport,4109.5881,15.946718300065196
2022,3,Сommunication,264.4792,11.447732676142401
2022,3,Trade,51907.62,13.4948611404453
2022,3,Procurement and processing,2310.5319,7.674532646357319
2022,3,Construction ,13249.506000000001,11.9694578696745
2022,3,Mortgage,20408.9029,11.2810376850291
2022,3,Consumer loans,22792.0585,22.7129691771369
2022,3,Social services,6419.265799999999,11.6850598041913
2022,3,Other ,13800.5124,12.6341289923409
2022,4,Industry,13225.084,10.1456208503553
